ethnography-42	transcending-boundaries	Transcending Boundaries	2005	Biao Xiang（项飙）	Brill
ethnography-47	hygiene-sociality-and-culture-in-contemporary-rural-china	Hygiene, Sociality, and Culture in Contemporary Rural China	2016	Lili Lai（赖立里）	Amsterdam University Press
ethnography-83	enforcing-order	Enforcing Order	2013	Didier Fassin	Polity Press
ethnography-84	kinshasa	Kinshasa	2004	Filip De Boeck & Marie-Françoise Plissart	Ludion
ethnography-98	the-new-woman-in-uzbekistan	The New Woman in Uzbekistan	2006	Marianne Kamp	University of Washington Press
ethnography-107	the-reindeer-people	The Reindeer People	2005	Piers Vitebsky	Houghton Mifflin Harcourt
ethnography-112	yearnings-in-the-meantime	Yearnings in the Meantime	2015	Stef Jansen	Berghahn Books
ethnography-122	the-traffic-in-hierarchy	The Traffic in Hierarchy	2017	Ward Keeler	University of Hawaii Press
ethnography-132	spirits-of-resistance-and-capitalist-discipline-factory-women-in-malaysia	Spirits of Resistance and Capitalist Discipline: Factory Women in Malaysia	1987	Aihwa Ong（王爱华）	State University of New York Press
