transcending-boundaries	https://brill.com/coverimage?doi=10.1163/9789047406792&type=webp	https://brill.com/view/title/8605	9789004142015	Brill	Transcending Boundaries	Biao Xiang（项飙）	2005
hygiene-sociality-and-culture-in-contemporary-rural-china	https://www.degruyter.com/document/cover/isbn/9789048527007/original	https://www.degruyterbrill.com/document/doi/10.1515/9789048527007/html	9789089648464	Amsterdam University Press	Hygiene, Sociality, and Culture in Contemporary Rural China	Lili Lai（赖立里）	2016
enforcing-order	https://media.wiley.com/product_data/coverImage300/92/07456647/0745664792.jpg	https://www.wiley.com/en-us/Enforcing+Order%3A+An+Ethnography+of+Urban+Policing-p-9780745664804	9780745664798	Polity Press	Enforcing Order	Didier Fassin	2013
kinshasa	https://www.designersandbooks.com/sites/default/files/kinhasa.jpg	https://www.designersandbooks.com/book/kinshasa-tales-invisible-city	9789055445288	Ludion	Kinshasa	Filip De Boeck & Marie-Françoise Plissart	2004
the-new-woman-in-uzbekistan	https://washingtonpress-us.imgix.net/covers/9780295986449.jpg	https://uwapress.uw.edu/book/9780295999890/the-new-woman-in-uzbekistan/	9780295986449	University of Washington Press	The New Woman in Uzbekistan	Marianne Kamp	2006
the-reindeer-people	https://books.google.com/books/content?id=CqevpWQT3RAC&printsec=frontcover&img=1&zoom=1	https://books.google.com/books/about/The_Reindeer_People.html?id=CqevpWQT3RAC	9780618773572	Houghton Mifflin Harcourt	The Reindeer People	Piers Vitebsky	2005
yearnings-in-the-meantime	https://www.berghahnbooks.com/covers/JansenYearnings.jpg	https://www.berghahnbooks.com/title/JansenYearnings	9781782386506	Berghahn Books	Yearnings in the Meantime	Stef Jansen	2015
the-traffic-in-hierarchy	https://uhpress.hawaii.edu/wp-content/uploads/2025/05/9780824883126-scaled.jpg	https://uhpress.hawaii.edu/title/the-traffic-in-hierarchy-masculinity-and-its-others-in-buddhist-burma/	9780824865948	University of Hawaii Press	The Traffic in Hierarchy	Ward Keeler	2017
spirits-of-resistance-and-capitalist-discipline-factory-women-in-malaysia	https://sunypress.edu/var/site/storage/images/books/s/spirits-of-resistance-and-capitalist-discipline2/9781438433554_cover/5280900-1-eng-CA/9781438433554_cover1_rb_fullcover.jpg	https://sunypress.edu/Books/S/Spirits-of-Resistance-and-Capitalist-Discipline2	9780887063817	State University of New York Press	Spirits of Resistance and Capitalist Discipline: Factory Women in Malaysia	Aihwa Ong（王爱华）	1987
